Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Armed forces personnel, total",MS.MIL.TOTL.P1,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83000,..,..,..,88000,87000,86000,82000,76000,75000,75700,79800,72700,69950,69950,68500,66100,61600,61600,71000,71000,64000,64000,64000,65722,65700,65700,66000,65700,70200,67500,67500,72000,72400,..,..
"Armed forces personnel, total",MS.MIL.TOTL.P1,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,464300,..,..,..,554000,550000,542000,522000,506000,506000,502400,491300,473100,452200,411600,389400,374400,361800,360400,358000,359000,354000,353000,353000,341967,341967,332250,325600,318400,312350,306350,306100,307000,304800,..,..
"Armed forces personnel, total",MS.MIL.TOTL.P1,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,478000,..,..,..,503000,545000,457000,442000,398000,362000,365000,383500,347100,333500,331000,221100,308400,296000,284500,284000,285000,246000,244000,244000,251465,251465,196000,186450,181550,178600,177300,179100,180000,181400,..,..
"Armed forces personnel, total",MS.MIL.TOTL.P1,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,120,120,100,100,100,100,100,..,..,130,130,130,130,130,180,180,200,200,250,250,0,..,..,..
"Armed forces personnel, total",MS.MIL.TOTL.P1,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,385100,..,..,..,506000,493000,473000,471000,450000,436000,585000,580900,580900,554100,521200,503100,482600,471100,454300,445000,445000,440000,436000,436000,326939,359378,367550,359500,359500,356850,356850,356850,347000,341500,..,..
"Armed forces personnel, total",MS.MIL.TOTL.P1,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,243000,..,..,..,247000,250000,250000,242000,242000,233000,251500,247500,247600,254600,254600,248700,252100,252100,252100,251000,272000,252000,242000,242000,260382,260382,260086,259800,259800,259800,259800,260890,261000,261150,..,..
"Armed forces personnel, total",MS.MIL.TOTL.P1,Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20000,..,..,..,17000,22000,22000,31000,35000,39000,31400,27300,26260,26300,27700,27700,26800,27600,27500,4000,109000,23000,23000,23000,25620,25287,23100,22650,21250,20800,20950,20950,21000,21450,..,..
"Armed forces personnel, total",MS.MIL.TOTL.P1,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,334000,..,..,..,318000,308000,301000,293000,271000,257000,233000,221000,218000,218000,218000,212500,211400,210400,212600,205000,217000,181000,160000,160000,178470,174020,165650,169150,159150,154700,152350,150250,148000,148450,..,..
"Armed forces personnel, total",MS.MIL.TOTL.P1,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2151600,..,..,..,2240000,2180000,2120000,1920000,1820000,1720000,1635600,1572100,1533300,1594000,1575000,1454800,1420700,1467000,1480000,1473000,1546000,1498000,1555000,1540000,1563996,1569417,1520100,1492200,1433150,1381250,1347300,1348400,1359000,1379800,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/25/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
